consumers,consumerName,Consumer.Sp.stage,consumerSP,consumerStage,resources,resourceName,Resource.Sp.stage,resourceSP,resourceStage,Consumer.Interaction.Code,Feeding.Site,confidence,justification,Ref.ID,localities,version
7,Pycnopodia.helianthoides.7.1,7.1,7,1,1,Dermasterias.imbricata.1.1,1.1,1,1,1,3,3,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,2,Orthasterias.koehleri.2.1,2.1,2,1,1,3,3,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,3,Patiria.miniata.3.1,3.1,3,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,3,Patiria.miniata.3.1,3.1,3,1,1,3,1,3,542; 383,"WA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,4,Pisaster.giganteus.4.1,4.1,4,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,4,Pisaster.giganteus.4.1,4.1,4,1,1,3,1,4,542; 383,"WA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,5,Pisaster.ochraceus.5.1,5.1,5,1,1,3,2,3,219; 388,"Olympic Peninsula, WA, USA; Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,5,Pisaster.ochraceus.5.1,5.1,5,1,1,3,1,3,542; 383,"WA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,6,Pisaster.brevispinus.6.1,6.1,6,1,1,3,2,4,542,"WA, USA",V19.readd
175,Cancer.antennarius.140.1,140.1,140,1,7,Pycnopodia.helianthoides.7.1,7.1,7,1,1,3,3,4,598,Marine,V19.readd
177,Loxorhynchus.grandis.141.1,141.1,141,1,7,Pycnopodia.helianthoides.7.1,7.1,7,1,1,3,3,3,598,Marine,V19.readd
251,Heterodontus.francisci.208.1,208.1,208,1,7,Pycnopodia.helianthoides.7.1,7.1,7,1,1,3,4,4,258,"CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,7,Pycnopodia.helianthoides.7.1,7.1,7,1,1,3,1,3,383,"Central CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,7,Pycnopodia.helianthoides.7.1,7.1,7,1,1,3,1,3,383,"Central CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,26,Lithophaga.plumula.26.1,26.1,26,1,1,3,2,4,920,"Barkley Sound, British Columbia, Canada",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,27,Parapholas.californica.27.1,27.1,27,1,1,3,2,4,920,"Barkley Sound, British Columbia, Canada",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,30,Chaceia.ovoidea.30.1,30.1,30,1,1,3,2,4,920,"Barkley Sound, British Columbia, Canada",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,31,Chama.arcana.31.1,31.1,31,1,1,3,2,3,693; 406; 407; 120,"CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,32,Crassadoma.gigantea.32.1,32.1,32,1,1,3,2,3,542,"WA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,34,Crenella.decussata.33.1,33.1,33,1,1,3,3,4,219,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,35,Diplodonta.orbella.34.1,34.1,34,1,1,3,2,3,920,"Barkley Sound, British Columbia, Canada",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,37,Modiolus.carpenteri.36.1,36.1,36,1,1,3,3,4,219,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,39,Hiatella.arctica.38.1,38.1,38,1,1,3,2,3,774,"Prince William Sound, AK, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,42,Mytilus.californianus.41.1,41.1,41,1,1,3,2,3,219,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,42,Mytilus.californianus.41.1,41.1,41,1,1,3,2,3,542,"WA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,44,Pitar.newcombianus.43.1,43.1,43,1,1,3,3,4,640,"Puget Sound, WA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,64,Octopus.rubescens.63.1,63.1,63,1,1,3,2,3,469; 647,"Monterey, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,65,Octopus.bimaculoides.64.1,64.1,64,1,1,3,2,3,469; 647,"Monterey, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,66,Octopus.bimaculatus.65.1,65.1,65,1,1,3,2,3,469; 647,"Monterey, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,154,Menesiniella.aquila.120.1,120.1,120,1,1,3,2,3,920,"Barkley Sound, British Columbia, Canada",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,155,Megabalanus.californicus.121.1,121.1,121,1,1,3,2,3,920,"Barkley Sound, British Columbia, Canada",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,159,Isocheles.pilosus.125.1,125.1,125,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,160,Paguristes.ulreyi.126.1,126.1,126,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,161,Pagurus.samuelis.127.1,127.1,127,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,175,Cancer.antennarius.140.1,140.1,140,1,1,3,1,3,394; 542,"Hopkins Marine Lab, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,177,Loxorhynchus.grandis.141.1,141.1,141,1,1,3,1,4,394,"Hopkins Marine Lab, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,181,Pugettia.producta.143.1,143.1,143,1,1,3,1,3,394; 542,"Hopkins Marine Lab, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,183,Panulirus.interruptus.144.1,144.1,144,1,1,3,2,4,542,"WA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,192,Alpheus.clamator.152.1,152.1,152,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,193,Betaeus.longidactylus.153.1,153.1,153,1,1,3,2,3,825,"San Diego, CA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,194,Eualus.lineatus.154.1,154.1,154,1,1,3,3,4,825,"San Diego, CA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,195,Heptacarpus.palpator.155.1,155.1,155,1,1,3,3,4,825,"San Diego, CA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,196,Heptacarpus.fuscimaculatus.156.1,156.1,156,1,1,3,3,4,825,"San Diego, CA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,197,Hippolyte.clarki.157.1,157.1,157,1,1,3,3,4,825,"San Diego, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,199,Fabia.subquadrata.159.1,159.1,159,1,14,NA,2,11,388; 219,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
470,Enhydra.lutris.411.1,411.1,411,1,199,Fabia.subquadrata.159.1,159.1,159,1,14,NA,2,11,542; 965; 542,"WA, USA; CA, USA; WA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,201,Lophopanopeus.bellus.161.1,161.1,161,1,1,3,2,3,825,"San Diego, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,202,Pachycheles.holosericus.162.1,162.1,162,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
7,Pycnopodia.helianthoides.7.1,7.1,7,1,203,Pachycheles.rudis.163.1,163.1,163,1,1,3,2,3,388,"Hopkins Marine Life Refuge, Pacific Grove, CA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,213,Amathimysis.trigibba.173.1,173.1,173,1,1,3,3,4,799,"San Diego, CA, USA",V19.readd
292,Paralichthys.californicus.245.1,245.1,245,1,219,Holmesimysis.costata.179.1,179.1,179,1,1,3,2,3,432,"San Diego, CA, USA",V19.readd
